UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00030232,2017-07-19,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030233,2017-07-19,Chemical Contamination (other),Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00030234,2017-07-19,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030235,2017-07-19,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030236,2017-07-19,Clandestine Detection,Fruits & Vegetables,Germany (DE),Home Office / Border Force
ICID00030237,2017-07-19,Allergens,Cereals & Bakery Products,United Kingdom (GB),General Public
ICID00030238,2017-07-19,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than Poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030239,2017-07-19,Clandestine Detection,Fruit & Vegetables,Spain (ES),Border Inspection Posts (BIPs)
ICID00030240,2017-07-20,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs)
ICID00030241,2017-07-20,Chemical Contamination (other),Fish & Fish Products,Spain (ES),Administrative Assistance and Cooperation System (AAC) 
