UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory ,ProductType,ProductOriginCountry,NotifierType
ICID00030667,2017-09-19,Pathogenic Micro-Organisms,Pet Food,United Kingdom (GB),Industry
ICID00030668,2017-09-19,Poor or Insufficient Controls,Crustaceans & products Thereof,France (FR),EU Member States
ICID00030669,2017-09-20,Feed Additives,Feed Materials,United Kingdom (GB),General Public
ICID00030670,2017-09-20,Pathogenic Micro-Organisms,Milk & Milk Products,Italy (IT),RASFF
ICID00030671,2017-09-21,Clandestine Detection,Fruits & Vegetables,France (FR),Border Inspection Posts (BIPs)
ICID00030672,2017-09-21,Clandestine Detection,Fish & Fish Products,Poland (PL),Home Office / Border Force
ICID00030673,2017-09-21,Clandestine Detection,Meat & Meat Products (other than poultry),Italy (IT),Home Office / Border Force
ICID00030674,2017-09-20,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00030675,2017-09-20,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00030676,2017-09-21,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs)
ICID00030677,2017-09-21,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Local Authority
ICID00030678,2017-09-21,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Public Health England (PHE)
ICID00030679,2017-09-21,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs)
ICID00030680,2017-09-21,Foreign Bodies ,Cereals & Bakery Products,Netherlands (NL),Local Authority
ICID00030682,2017-09-21,CHEMET,N/A,United Kingdom (GB),Industry
ICID00030683,2017-09-21,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030684,2017-09-22,Clandestine Detection,Milk & Milk Products,France (FR),Border Inspection Posts (BIPs)
ICID00030685,2017-09-21,Mycotoxins,Fruits & Vegetables,Sri Lanka (LK),Border Inspection Posts (BIPs)
ICID00030686,2017-09-22,Allergens,Prepared Dishes & Snacks ,United Kingdom (GB),General Public
ICID00030687,2017-09-22,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Netherlands (NL),RASFF
ICID00030688,2017-09-22,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,United Kingdom (GB),EU Member States
ICID00030689,2017-09-22,Labelling Absent / Incomplete / Incorrect,Cereals & Bakery Products,United Kingdom (GB),Industry
ICID00030690,2017-09-22,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),European Commission (EC)
ICID00030691,2017-09-22,Poor or Insufficient Controls,Crustaceans & Products Thereof,Canada (CA),Border Inspection Posts (BIPs)
ICID00030692,2017-09-22,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030693,2017-09-22,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030694,2017-09-22,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030695,2017-09-22,Poor or Insufficient Controls,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00030696,2017-09-22,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030697,2017-09-24,Clandestine Detection,Meat & Meat Products (other than poultry),Italy (IT),Home Office / Border Force
ICID00030698,2017-09-24,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030699,2017-09-25,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,South Africa (ZA),RASFF
ICID00030700,2017-09-25,Poor or Insufficient Controls,Cereals & Bakery Products,Poland (PL),Industry
ICID00030702,2017-09-26,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030703,2017-09-25,Allergens,Non-Alcoholic Beverages,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00030704,2017-09-25,Clandestine Detection,Confectionery,Spain (ES),Home Office / Border Force
ICID00030705,2017-09-26,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Industry
ICID00030706,2017-09-26,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00030707,2017-09-26,Labelling Absent / Incomplete / Incorrect,Non-Alcoholic Beverages,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030708,2017-09-26,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs)
ICID00030709,2017-09-26,Heavy Metals,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00030710,2017-09-20,Composition,Milk & Milk Products,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00030712,2017-09-26,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030713,2017-09-26,Foreign Bodies ,Confectionery,Italy (IT),Industry
ICID00030714,2017-09-26,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030715,2017-09-26,Clandestine Detection,Confectionery,France (FR),Home Office / Border Force
ICID00030716,2017-09-27,Clandestine Detection,Non-Alcoholic Beverages,Switzerland (CH),Home Office / Border Force
ICID00030717,2017-09-27,Allergens,Confectionery,Belgium (BE),Local Authority
ICID00030718,2017-09-27,Allergens,Cereals & Bakery Products,Germany (DE),Local Authority
ICID00030719,2017-09-21,Mycotoxins,Nuts / Nut Products / Seeds,China (CX),Border Inspection Posts (BIPs)
ICID00030720,2017-09-26,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Third Country 
ICID00030721,2017-09-27,Chemical Contamination (other),Soups / Broths / Sauces & Condiments,Philippines (PH),RASFF
ICID00030722,2017-09-27,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00030723,2017-09-27,Residues of Veterinary Medicinal Products,Milk & Milk Products,United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00030724,2017-09-27,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00030725,2017-09-27,Allergens,Meat & Meat Products (other than poultry),Netherlands (NL),RASFF
ICID00030726,2017-09-27,Food Additives & Flavourings,Non-Alcoholic Beverages,United States (US),Local Authority
