UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType
ICID00029589,2017-04-07,Adulteration / Fraud,Herbs & Spices,Islamic Republic of Iran (IR),Local Authority
ICID00029590,2017-04-07,Foreign Bodies,Pet Food,United Kingdom (GB),General Public
ICID00029591,2017-04-07,Allergens,Confectionery,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00029592,2017-04-07,Allergens,Confectionery,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00029593,2017-04-09,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Romania (RO),Border Inspection Posts (BIPs)
ICID00029594,2017-04-08,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029595,2017-04-10,Adulteration / Fraud,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00029596,2017-04-10,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Spain (ES),Border Inspection Posts (BIPs)
ICID00029597,2017-04-10,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029598,2017-04-11,Novel Food,Dietetic Foods/Food Supplements/Fortified Foods,Poland (PL),EU Member States
ICID00029599,2017-04-11,Mycotoxins,Herbs & Spices,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00029601,2017-04-11,Poor or Insufficient Controls,Cereals & Bakery Products,Australia (AU),General Public
ICID00029602,2017-04-10,Labelling (absent / incomplete / incorrect),Fruits & Vegetables,Uganda (UG),Border Inspection Posts (BIPs)
ICID00029603,2017-04-11,Poor or Insufficient Controls,Prepared Dishes & Snacks,United Kingdom (GB),General Public
ICID00029604,2017-04-11,Labelling (absent / incomplete / incorrect),Milk & Milk Products,Jersey (JE),Local Authority
ICID00029605,2017-04-11,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Environment Agency
ICID00029606,2017-04-11,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00029607,2017-04-11,Pathogenic Micro-Organisms,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00029608,2017-04-12,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00029609,2017-04-12,Poor or Insufficient Controls,Non-Alcoholic Beverages,China (CX),Border Inspection Posts (BIPs)
ICID00029610,2017-04-12,Foreign Bodies,Meat & Meat Products (other than poultry),Poland (PL),Local Authority
ICID00029611,2017-04-12,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00029612,2017-04-13,Organoleptic Aspects,Other Food Product/Mixed,United Kingdom (GB),Local Authority
ICID00029613,2017-04-13,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Brazil (BR),Border Inspection Posts (BIPs)
ICID00029614,2017-04-14,Allergens,Confectionary,Bulgaria (BG),Industry
ICID00029615,2017-04-13,Food Additives & Flavourings,Herbs & Spices,India (IN),Local Authority
ICID00029616,2017-04-12,Residues or Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Ireland (IE),Department of Agriculture & Rural Development (DARD)
ICID00029617,2017-04-14,Organoleptic Aspects,Dietetic Foods/Food Supplements/Fortified Foods,United Kingdom (GB),Industry
ICID00029618,2017-04-14,Clandestine Detection,Fruits & Vegetables,Portugal (PT),Home Office/Border Force
ICID00029619,2017-04-15,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029620,2017-04-17,Poor or Insufficient Controls,Fish & Fish Products,India (IN),Border Inspection Posts (BIPs)
ICID00029621,2017-04-18,Adulteration / Fraud,Poultry Meat & Poultry Meat Products,United Kingdom (GB),General Public
ICID00029622,2017-04-18,Adulteration / Fraud,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Operations Group
ICID00029623,2017-04-18,CHEMET,N/A,United Kingdom (GB),Water Company
ICID00029624,2017-04-18,CHEMET,N/A,United Kingdom (GB),Fire Services
